_CASE_KEY	Variant	Pizza Type	Pizza Size	Weekday	Daytime	Customer_Location	Customer_Type	Revenue
1	4	Salami	Small	Sunday	21	Munich District One	Teenager	10
2	1	Magherita	Large	Friday	12	Munich District One	Student	11
3	6	Salami	Medium	Sunday	12	Munich District Four	Student	36
4	2	Calzone	Small	Sunday	18	Munich District One	Student	5
5	6	Salami	Small	Friday	12	Munich District One	Student	8
6	2	Magherita	Large	Friday	11	Munich District Two	Adult	10
7	4	Speciale	Medium	Friday	16	Munich District Five	Student	50
8	2	Funghi	Large	Saturday	13	Munich District Four	Student	50
9	6	Salami	Small	Thursday	13	Munich District One	Student	29
10	3	Calzone	Small	Sunday	12	Munich District Two	Student	29
11	4	Salami	Large	Sunday	12	Munich District One	Senior	9
12	2	Funghi	Small	Sunday	14	Munich District Three	Teenager	5
13	1	Salami	Medium	Saturday	18	Munich District One	Student	36
14	3	Salami	Small	Friday	12	Munich District One	Teenager	21
16	1	Salami	Medium	Saturday	14	Munich District One	Student	20
17	1	Calzone	Large	Saturday	13	Munich District Two	Teenager	35
18	3	Salami	Small	Friday	12	Munich District Three	Student	21
19	4	Salami	Small	Saturday	14	Munich District Two	Adult	20
20	7	Speciale	Small	Sunday	20	Munich District One	Student	49
21	9	Salami	Small	Sunday	19	Munich District Four	Student	29
22	3	Magherita	Small	Friday	17	Munich District One	Student	11
24	1	Magherita	Medium	Saturday	16	Munich District One	Student	5
26	3	Funghi	Small	Thursday	18	Munich District Three	Teenager	28
27	6	Salami	Medium	Friday	17	Munich District Four	Student	56
28	6	Paprika	Small	Saturday	21	Munich District Three	Student	5
30	1	Funghi	Small	Wednesday	18	Munich District Two	Student	11
31	1	Magherita	Medium	Monday	19	Munich District One	Adult	9
32	7	Magherita	Large	Friday	18	Munich District One	Teenager	11
33	1	Salami	Medium	Saturday	15	Munich District One	Teenager	29
34	2	Salami	Medium	Thursday	20	Munich District Three	Student	22
35	4	Magherita	Medium	Saturday	14	Munich District One	Student	8
36	2	Funghi	Medium	Saturday	13	Munich District Four	Student	10
37	3	Funghi	Small	Friday	19	Munich District One	Adult	35
38	2	Calzone	Small	Monday	11	Munich District Four	Teenager	34
39	3	Paprika	Large	Wednesday	14	Munich District One	Student	33
40	3	Salami	Large	Saturday	12	Munich District One	Student	12
41	3	Magherita	Small	Friday	18	Munich District One	Student	36
42	2	Funghi	Small	Tuesday	11	Munich District One	Student	36
43	6	Salami	Small	Saturday	13	Munich District Two	Adult	29
44	3	Salami	Medium	Wednesday	18	Munich District Five	Student	36
45	6	Funghi	Large	Wednesday	12	Munich District One	Student	11
46	1	Paprika	Large	Monday	18	Munich District One	Adult	16
48	2	Salami	Small	Saturday	10	Munich District Three	Student	10
49	2	Salami	Medium	Wednesday	12	Munich District Four	Teenager	38
50	1	Speciale	Small	Saturday	20	Munich District One	Student	9
51	3	Magherita	Small	Friday	18	Munich District Three	Student	9
52	3	Salami	Medium	Saturday	21	Munich District Five	Student	17
53	3	Funghi	Medium	Sunday	14	Munich District Two	Adult	10
54	1	Salami	Small	Sunday	12	Munich District Three	Student	60
